cntry,region,four_region,rw_order,paed_age_cutoff,inc_time_tmc,type,elpd,crps,mae,rmse,ppd_0.500,ppd_0.800,ppd_0.950
NGA,WCA,Western,0,10,TRUE,MMC coverage,322.11444990126114,112.88603874697203,0.17626555956764078,0.2078461386249456,0.33085106382978724,0.5191489361702127,0.675531914893617
NGA,WCA,Western,0,10,TRUE,TMC coverage,610.4547107843916,131.4900681785145,0.19657991346190948,0.22460966408658536,0.2936170212765957,0.5127659574468085,0.6734042553191489
NGA,WCA,Western,0,Inf,FALSE,MC coverage,934.0393141976848,105.94036674226228,0.11740261392444426,0.12239244941738932,0.5840425531914893,0.6627659574468086,0.7585106382978724
NGA,WCA,Western,0,Inf,FALSE,MMC coverage,330.120820351084,112.78199533797604,0.17579070158310933,0.20701133798964025,0.33297872340425533,0.5287234042553192,0.674468085106383
NGA,WCA,Western,0,Inf,FALSE,TMC coverage,603.9184938466008,129.21657582517997,0.19333102842234487,0.2212019484461003,0.2946808510638298,0.5159574468085106,0.6861702127659575
NGA,WCA,Western,0,Inf,TRUE,MC coverage,939.23689635974,109.37226527947588,0.11712450120455056,0.11883124027592074,0.5595744680851064,0.5659574468085107,0.6234042553191489
NGA,WCA,Western,0,Inf,TRUE,MMC coverage,357.9106409166779,115.1571377531474,0.2594869483203644,0.3340426277469953,0.6595744680851063,0.8627659574468085,0.952127659574468
NGA,WCA,Western,0,Inf,TRUE,TMC coverage,581.3262554430621,133.6645486914132,0.27914194028718814,0.34859622166596227,0.6436170212765957,0.85,0.9425531914893616
NGA,WCA,Western,1,10,FALSE,MC coverage,928.0225307471874,103.29447022275356,0.11806742718175844,0.12510289396328592,0.6074468085106383,0.7053191489361702,0.8202127659574469
NGA,WCA,Western,1,10,FALSE,MMC coverage,322.8807659675238,112.1871121215891,0.174747895898174,0.20588864434440088,0.3425531914893617,0.5191489361702127,0.675531914893617
NGA,WCA,Western,1,10,FALSE,TMC coverage,605.1417647796636,131.00165746726893,0.19520528040828689,0.22288072603000503,0.3,0.5053191489361702,0.6702127659574468
NGA,WCA,Western,1,10,TRUE,MC coverage,928.0756827840733,103.11104068274211,0.117905051438496,0.12493884779467776,0.6074468085106383,0.7138297872340426,0.8202127659574469
NGA,WCA,Western,1,10,TRUE,MMC coverage,322.4506825587836,113.27572408313416,0.17579825939957183,0.2068766954529319,0.32659574468085106,0.5095744680851064,0.6670212765957447
NGA,WCA,Western,1,10,TRUE,TMC coverage,605.6250002252897,132.70568479334153,0.19689054581663737,0.22444777019290296,0.2904255319148936,0.5074468085106383,0.6638297872340425
NGA,WCA,Western,1,Inf,FALSE,MC coverage,929.445243912244,103.7479304689005,0.11774409150952302,0.12432048409089912,0.6063829787234043,0.6936170212765957,0.8106382978723404
NGA,WCA,Western,1,Inf,FALSE,MMC coverage,324.5662365077761,111.13991068925657,0.17363617296770736,0.2047372430249616,0.33297872340425533,0.5308510638297872,0.6882978723404255
NGA,WCA,Western,1,Inf,FALSE,TMC coverage,604.8790074044678,129.24832717246343,0.1932152265377688,0.2210182989919493,0.2968085106382979,0.5095744680851064,0.6829787234042554
NGA,WCA,Western,1,Inf,TRUE,MC coverage,930.4852119657704,103.9694419853676,0.1174889808972959,0.12370546990208368,0.6031914893617021,0.6797872340425531,0.798936170212766
NGA,WCA,Western,1,Inf,TRUE,MMC coverage,308.45041933582735,94.93170143018936,0.15472609388000866,0.18650464665212535,0.3723404255319149,0.574468085106383,0.75
NGA,WCA,Western,1,Inf,TRUE,TMC coverage,622.0347926299429,122.31361578621537,0.18429260747303244,0.21112390180231963,0.3372340425531915,0.5393617021276595,0.7436170212765958
NGA,WCA,Western,2,10,FALSE,MC coverage,927.968965613932,103.21933458468638,0.11802242429310528,0.12506070821962215,0.6053191489361702,0.7127659574468085,0.8202127659574469
NGA,WCA,Western,2,10,FALSE,MMC coverage,323.2674880396256,112.5396305607728,0.17504226272672202,0.20608789559835825,0.3351063829787234,0.5212765957446809,0.675531914893617
NGA,WCA,Western,2,10,FALSE,TMC coverage,604.7014775743066,130.94072106991,0.1950175653382844,0.22272337981276877,0.29148936170212764,0.5042553191489362,0.6797872340425531
NGA,WCA,Western,2,10,TRUE,MC coverage,934.2763735977596,106.02474758266848,0.11738827146920323,0.1221771614242452,0.5904255319148937,0.6585106382978724,0.7574468085106383
NGA,WCA,Western,2,10,TRUE,MMC coverage,322.2136548997961,112.52549825506,0.17708362008025283,0.20915693714160916,0.32978723404255317,0.5287234042553192,0.6914893617021277
NGA,WCA,Western,2,10,TRUE,TMC coverage,612.0627186979634,131.22399698078007,0.19739699541067013,0.22597400506883283,0.3021276595744681,0.5117021276595745,0.6914893617021277
NGA,WCA,Western,2,Inf,FALSE,MC coverage,928.8414510391432,103.6346676029317,0.11794353197945548,0.12467923624586888,0.6085106382978723,0.698936170212766,0.8138297872340425
NGA,WCA,Western,2,Inf,FALSE,MMC coverage,323.598610232249,111.16666011851558,0.17363478694976403,0.20480047453719535,0.32978723404255317,0.5276595744680851,0.6893617021276596
NGA,WCA,Western,2,Inf,FALSE,TMC coverage,605.2428408068943,129.9899551461654,0.19398383707650385,0.2216982078535757,0.2925531914893617,0.5106382978723404,0.6851063829787234
NGA,WCA,Western,2,Inf,TRUE,MC coverage,929.5111770507626,103.6628426134719,0.11769638783737524,0.1242773799472946,0.6074468085106383,0.6925531914893617,0.8127659574468085
NGA,WCA,Western,2,Inf,TRUE,MMC coverage,307.1501497328331,94.30984907560844,0.15356538246197085,0.18508565347503725,0.3691489361702128,0.5819148936170213,0.7489361702127659
NGA,WCA,Western,2,Inf,TRUE,TMC coverage,622.3610273179296,122.47074986083054,0.1840101560216667,0.21063950841344453,0.3382978723404255,0.5436170212765957,0.7457446808510638
RWA,ESA,Eastern,0,10,FALSE,MC coverage,380.23457886272195,108.18052271090372,0.1158870654786296,0.14232570328634864,0.4811612106238419,0.7411982705373688,0.8832612723903644
RWA,ESA,Eastern,0,10,FALSE,MMC coverage,341.3833226571662,94.76654379018343,0.1053058809144306,0.13158362914764654,0.5151327980234712,0.7603458925262507,0.9024088943792464
RWA,ESA,Eastern,0,10,FALSE,TMC coverage,38.85125620555575,21.379875598753493,0.0267803402030258,0.04432102942380972,0.8270537368746139,0.9061148857319332,0.964793082149475
RWA,ESA,Eastern,0,10,TRUE,MC coverage,370.92492908210664,102.9465977985837,0.1109415670623522,0.1369849699406827,0.4922791846819024,0.7393452748610253,0.881408276714021
RWA,ESA,Eastern,0,10,TRUE,MMC coverage,338.1680261103205,93.11947009829088,0.10330929800548336,0.12929001055224762,0.5206917850525016,0.7572575663990118,0.8987029030265596
RWA,ESA,Eastern,0,10,TRUE,TMC coverage,32.756902971786104,19.174038827202523,0.02312727415713792,0.03884004624462087,0.8252007411982706,0.90982087708462,0.9666460778258184
RWA,ESA,Eastern,0,Inf,FALSE,MC coverage,378.17155497248217,107.34636754240152,0.11505666204933142,0.14139784496119454,0.48672019765287217,0.7498455836936381,0.8863495985176034
RWA,ESA,Eastern,0,Inf,FALSE,MMC coverage,339.0234942014371,93.93787540481478,0.10446460094692214,0.13062866562656686,0.5176034589252625,0.7578752316244596,0.9024088943792464
RWA,ESA,Eastern,0,Inf,FALSE,TMC coverage,39.1480607710451,21.408786181317065,0.02682070861166423,0.04436879525174066,0.8270537368746139,0.907350216182829,0.9641754169240272
RWA,ESA,Eastern,0,Inf,TRUE,MC coverage,371.8477199899031,103.31801215910886,0.11121732824731624,0.13733129484897705,0.4935145151327981,0.7393452748610253,0.8783199505867819
RWA,ESA,Eastern,0,Inf,TRUE,MMC coverage,339.557973230372,93.68204962757366,0.10374910856618524,0.1298183915854218,0.5225447807288449,0.756639901173564,0.897467572575664
RWA,ESA,Eastern,0,Inf,TRUE,TMC coverage,32.28974675953113,19.217203596252137,0.02299400560621739,0.03855088120767113,0.8258184064237184,0.9092032118591724,0.9672637430512662
RWA,ESA,Eastern,1,10,FALSE,MC coverage,380.0748274211922,108.10088564751564,0.11570172955935557,0.14207214865654963,0.4848672019765287,0.7424336009882644,0.8820259419394688
RWA,ESA,Eastern,1,10,FALSE,MMC coverage,341.3204858323347,94.64518562726774,0.1051261998751042,0.13134323318424862,0.5194564546016059,0.7621988882025942,0.90426189005559
RWA,ESA,Eastern,1,10,FALSE,TMC coverage,38.75434158885751,21.303597990346432,0.0267029817102786,0.04420761053178281,0.8270537368746139,0.9054972205064856,0.9635577516985794
RWA,ESA,Eastern,1,10,TRUE,MC coverage,371.4276814158087,102.58295206954524,0.11055434501788523,0.1365549586806638,0.4910438542310068,0.7473749227918468,0.8844966028412601
RWA,ESA,Eastern,1,10,TRUE,MMC coverage,338.72898786970313,92.88028556407777,0.10298463853000436,0.12891965412221068,0.5262507720815318,0.7603458925262507,0.9011735639283508
RWA,ESA,Eastern,1,10,TRUE,TMC coverage,32.69869354610554,19.169690388978783,0.02311050773258749,0.03876386845592185,0.8264360716491661,0.9116738727609636,0.9654107473749228
RWA,ESA,Eastern,1,Inf,FALSE,MC coverage,378.31156545140175,107.12190047343697,0.11486577525028306,0.1412043198428368,0.4885731933292155,0.7430512662137122,0.8838789376158123
RWA,ESA,Eastern,1,Inf,FALSE,MMC coverage,339.1756075554398,93.6662818183688,0.10421958957201556,0.13038177936265016,0.5237801111797405,0.7652872143298333,0.9054972205064856
RWA,ESA,Eastern,1,Inf,FALSE,TMC coverage,39.135957895961965,21.42378928967488,0.02685619635850547,0.04445770536912837,0.8245830759728228,0.9061148857319332,0.9604694255713404
RWA,ESA,Eastern,1,Inf,TRUE,MC coverage,371.9156677152359,103.1581677770618,0.11066575404804917,0.13658795452985067,0.4935145151327981,0.7399629400864731,0.8826436071649166
RWA,ESA,Eastern,1,Inf,TRUE,MMC coverage,339.6743137934696,93.67367796346548,0.10326702604105135,0.1290966077428371,0.5250154416306362,0.7572575663990118,0.8949969116738727
RWA,ESA,Eastern,1,Inf,TRUE,TMC coverage,32.24135392176627,19.18773846740835,0.02297403713431091,0.03855513166619973,0.8264360716491661,0.9116738727609636,0.964793082149475
RWA,ESA,Eastern,2,10,FALSE,MC coverage,377.788785567738,109.1381021533892,0.11605016103363434,0.1423637177667654,0.4793082149474985,0.7313156269302038,0.8770846201358864
RWA,ESA,Eastern,2,10,FALSE,MMC coverage,339.02647674967056,95.6214093739576,0.1053707133094622,0.13147760382209528,0.5194564546016059,0.7547869054972205,0.8937615812229771
RWA,ESA,Eastern,2,10,FALSE,TMC coverage,38.76230881806743,21.22352478531407,0.02672206544978079,0.04436579385149699,0.8289067325509574,0.9061148857319332,0.964793082149475
RWA,ESA,Eastern,2,10,TRUE,MC coverage,367.7701406162942,102.52351458649096,0.10986427767808687,0.13567750802484363,0.4996911673872761,0.7368746139592341,0.881408276714021
RWA,ESA,Eastern,2,10,TRUE,MMC coverage,335.3346906655025,93.0278685350165,0.10240070258726168,0.12808348825989377,0.5231624459542927,0.7523162445954292,0.8937615812229771
RWA,ESA,Eastern,2,10,TRUE,TMC coverage,32.43544995079174,19.074512418824607,0.02299182893048517,0.03863188778523833,0.8258184064237184,0.9116738727609636,0.9654107473749228
RWA,ESA,Eastern,2,Inf,FALSE,MC coverage,375.77624274545735,108.1601090372628,0.1150947101089026,0.14129785339815062,0.4873378628783199,0.7319332921556516,0.8783199505867819
RWA,ESA,Eastern,2,Inf,FALSE,MMC coverage,336.8512895380412,94.71608484846728,0.104459903850429,0.13046051284830987,0.5200741198270538,0.7572575663990118,0.8956145768993206
RWA,ESA,Eastern,2,Inf,FALSE,TMC coverage,38.92495320741613,21.28926301834273,0.0267389344759986,0.04428165814659954,0.8233477455219271,0.9061148857319332,0.9684990735021618
RWA,ESA,Eastern,2,Inf,TRUE,MC coverage,368.19328641372897,102.74918236630344,0.1097466151240725,0.1354505928964013,0.4959851760345893,0.7350216182828907,0.8795552810376775
